"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Suspended Solids (mg/L)","Total Phosphorus (mg/L)","Total Nitrogen (mg/L)","Ammonia Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","Total Inorganic Nitrogen (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Turbidity (NTU)","pH","Temperature (°C)","Salinity (psu)"
"North Western","NM1","1989-07-21","1","Middle Water","<0.1","9.5","0.05","0.62","0.075","0.027","0.28","68","4.7","57","9.9","8.6","26.2","28.6"
"North Western","NM1","1989-07-21","1","Bottom Water","<0.1","11","0.07","0.55","0.075","0.029","0.25","69","4.7","62","7.7","8.6","26.1","29.1"
"North Western","NM1","1989-09-11","1","Surface Water","2.5","1.5","<0.02","0.38","0.018","<0.005","0.03","152","9.9","1","7","8.9","29.1","27.4"
"North Western","NM1","1989-09-11","1","Middle Water","1.3","3.5","0.03","0.57","0.034","0.007","0.09","72","4.8","7","4.2","8.6","27.8","30"
"North Western","NM1","1989-09-11","1","Bottom Water","1","2","0.03","0.41","0.049","0.005","0.13","62","4.1","3","5.5","8.5","27.7","30.4"
"North Western","NM1","1989-11-17","1","Surface Water","0.6","15","0.04","0.56","0.099","0.024","0.15","78","5.5","62","13.6","8.4","22.9","31.6"
"North Western","NM1","1989-11-17","1","Middle Water","0.5","16","0.04","0.76","0.091","0.02","0.14","76","5.5","78","12.2","8.4","22.9","31.7"
"North Western","NM1","1989-11-17","1","Bottom Water","0.6","18","0.05","0.48","0.088","0.025","0.14","76","5.4","73","27","8.4","22.9","31.7"
"North Western","NM1","1990-01-22","1","Surface Water","0.8","1.5","0.05","0.63","0.092","0.038","0.21","71","6.2","170","2.5","8.3","17","30.8"
"North Western","NM1","1990-01-22","1","Middle Water","1","2","0.04","0.57","0.083","0.021","0.2","70","6.1","130","2.4","8.3","17","31.2"
"North Western","NM1","1990-01-22","1","Bottom Water","0.9","5","0.04","0.57","0.085","0.038","0.21","68","6","170","3.6","8.3","17","31.2"
"North Western","NM1","1990-03-19","1","Surface Water","<0.1","0.5","0.08","0.63","0.076","0.019","0.13","81","6.9","16","2.6","8.5","18.1","30.2"
"North Western","NM1","1990-03-19","1","Middle Water","<0.1","2","0.06","0.48","0.095","0.027","0.14","78","6.7","31","2.2","8.6","17.7","31"
"North Western","NM1","1990-03-19","1","Bottom Water","<0.1","2","0.06","0.5","0.1","0.022","0.15","73","6.4","60","2.5","8.6","17.6","31.1"
"North Western","NM1","1990-05-11","1","Surface Water","0.5","3.5","0.08","1.6","0.081","0.011","0.29","88","6.9","640","7.2","8.1","21.8","30.4"
"North Western","NM1","1990-05-11","1","Middle Water","<0.1","1","0.11","0.53","0.069","0.005","0.19","70","5.6","240","2.9","8.1","21.2","32.5"
"North Western","NM1","1990-05-11","1","Bottom Water","<0.1","2.5","0.11","0.48","0.083","0.012","0.21","61","4.9","180","2.4","8.1","21","33.4"
"North Western","NM1","1990-07-09","1","Surface Water","1.6","5.5","0.05","0.93","0.063","0.026","0.34","152","10.1","1","6.5","8.8","29.8","14.7"
"North Western","NM1","1990-07-09","1","Middle Water","1.3","7.5","0.06","0.74","0.031","0.011","0.18","81","5.8","130","5.7","8.4","25.8","27.4"
"North Western","NM1","1990-07-09","1","Bottom Water","0.9","6.5","0.08","0.59","0.036","0.01","0.16","56","4.1","160","5","8.4","24.8","30.7"
"North Western","NM1","1990-08-13","1","Surface Water","<0.1","3","0.08","0.59","0.011","0.015","0.3","91","6.2","50","9.1","8.3","28.1","25.8"
"North Western","NM1","1990-08-13","1","Middle Water","<0.1","11","0.07","0.59","0.012","0.009","0.21","72","5","80","14","8.3","26.9","29.3"
"North Western","NM1","1990-08-13","1","Bottom Water","<0.1","13","0.09","0.63","0.012","0.009","0.19","62","4.4","100","14","8.3","26.1","31.3"
"North Western","NM1","1990-09-10","1","Surface Water","0.2","5","0.65","0.68","0.033","0.031","0.33","88","5.9","950","7.2","8.3","28.8","29.4"
"North Western","NM1","1990-09-10","1","Middle Water","0.1","7","0.47","0.83","0.035","0.022","0.43","85","5.7","470","8.7","8.3","28.6","30.1"
"North Western","NM1","1990-09-10","1","Bottom Water","0.2","5","0.49","0.7","0.059","0.049","0.31","85","5.8","540","9.5","8.3","28.4","30.2"
"North Western","NM1","1990-11-09","1","Surface Water","1.1","2.5","0.08","0.66","0.081","0.023","0.22","114","8.4","1100","11.8","8","24.7","29.9"
"North Western","NM1","1990-11-09","1","Middle Water","1.1","3","0.1","0.74","0.038","0.02","0.17","97","7.1","460","11.5","8","24.7","30.7"
"North Western","NM1","1990-11-09","1","Bottom Water","1.2","7.5","0.09","0.77","0.046","0.022","0.17","98","7.1","220","18.6","8","24.8","31"
"North Western","NM1","1991-01-11","1","Surface Water","0.6","7","0.06","0.47","0.12","0.028","0.18","97","7.7","30","6.2","7.9","17.3","32.2"
"North Western","NM1","1991-01-11","1","Middle Water","0.8","9","0.08","0.44","0.12","0.028","0.19","100","7.9","50","5.8","7.9","17.3","32.2"
"North Western","NM1","1991-01-11","1","Bottom Water","0.6","2","0.07","0.57","0.11","0.027","0.18","119","9.4","10","6.1","7.9","17.1","32.3"
"North Western","NM1","1991-03-11","1","Surface Water","1","1.5","0.08","1.55","0.12","0.037","0.27","N/A","N/A","10","2.2","8","N/A","N/A"
"North Western","NM1","1991-03-11","1","Middle Water","0.8","1.5","0.08","1.42","0.069","0.037","0.19","N/A","N/A","76","2.3","7.9","N/A","N/A"
"North Western","NM1","1991-03-11","1","Bottom Water","0.6","7","0.08","0.99","0.086","0.037","0.21","N/A","N/A","140","2.4","7.9","N/A","N/A"
"North Western","NM1","1991-05-03","1","Surface Water","0.6","6.5","0.07","1.1","0.121","0.024","0.22","79","6","70","5.5","8.2","23.5","31.6"
"North Western","NM1","1991-05-03","1","Middle Water","0.8","5.5","0.06","1.46","0.117","0.025","0.28","75","5.6","90","7.5","8.1","23.5","32.1"
"North Western","NM1","1991-05-03","1","Bottom Water","0.7","12","0.05","1.06","0.133","0.024","0.24","75","5.6","220","5.8","8.1","23.4","32.3"
"North Western","NM1","1991-07-08","1","Surface Water","1.4","3.5","0.06","1.38","0.046","0.037","1.21","100","6.5","90","5","8.5","27.8","9.1"
"North Western","NM1","1991-07-08","1","Middle Water","0.9","3","0.06","0.86","0.041","0.027","0.74","46","3.2","140","3.6","8.4","23.6","27.6"
"North Western","NM1","1991-07-08","1","Bottom Water","1","3","0.05","1.24","0.033","0.037","1.11","45","3.3","1500","5","8.4","22.2","31.6"
"North Western","NM1","1991-09-16","1","Surface Water","0.5","4","0.04","0.48","<0.005","0.029","0.32","79","5.4","1","2.9","8.1","24.7","28.4"
"North Western","NM1","1991-09-16","1","Middle Water","0.5","5","0.04","0.64","<0.005","0.028","0.31","69","4.9","10","2.8","8.1","24.5","29.5"
"North Western","NM1","1991-09-16","1","Bottom Water","0.7","5","0.03","0.45","<0.005","0.03","0.32","55","3.8","13","3","8.1","24","30.5"
"North Western","NM1","1991-11-18","1","Surface Water","0.8","4","0.18","0.44","0.112","0.031","0.25","91","7","48","2.5","8.1","22.4","32.7"
"North Western","NM1","1991-11-18","1","Middle Water","0.8","4","0.14","0.34","0.11","0.028","0.25","86","6.7","51","2.6","8.2","22.1","32.7"
"North Western","NM1","1991-11-18","1","Bottom Water","0.9","3.5","0.18","0.35","0.103","0.028","0.25","88","6.9","50","2.9","8.2","21.9","32.7"
"North Western","NM1","1992-01-10","1","Surface Water","0.7","12","0.08","N/A","0.105","0.024","0.21","122","11","55","11","8.1","16","34"
"North Western","NM1","1992-01-10","1","Middle Water","0.7","13","0.24","N/A","0.113","0.022","0.21","119","10.6","67","9.5","8.1","16","34.4"
"North Western","NM1","1992-01-10","1","Bottom Water","0.8","14","0.1","N/A","0.064","0.011","0.11","112","10","61","11","8.1","16","34.4"
"North Western","NM1","1992-03-16","1","Surface Water","1.3","7","0.13","1.03","0.258","0.041","0.71","98","7.6","42","7.3","8.1","18.5","25.9"
"North Western","NM1","1992-03-16","1","Middle Water","0.9","6.5","0.12","0.79","0.189","0.03","0.47","94","7.4","40","5.7","8","18","30"
"North Western","NM1","1992-03-16","1","Bottom Water","0.6","9","0.17","0.73","0.177","0.029","0.42","86","6.8","57","6.8","8","17.6","30.8"
"North Western","NM1","1992-05-11","1","Surface Water","0.4","7.5","0.08","0.94","0.184","0.039","0.64","84","5.9","28","3.9","8.1","23.7","20.6"
"North Western","NM1","1992-05-11","1","Middle Water","0.4","4","0.08","0.72","0.116","0.023","0.37","78","5.5","35","4.9","8.1","23.4","25.7"
"North Western","NM1","1992-05-11","1","Bottom Water","0.2","4","0.12","0.64","0.105","0.061","0.27","75","5.3","32","4.2","8.1","23.1","27.4"
"North Western","NM1","1992-07-24","1","Surface Water","1","3","0.28","0.69","0.07","0.017","0.39","92","6.2","110","4.7","7.7","27","23.2"
"North Western","NM1","1992-07-24","1","Middle Water","0.9","9.5","0.24","0.55","0.085","0.007","0.27","77","5.3","50","8.1","7.6","25.6","27.3"
"North Western","NM1","1992-07-24","1","Bottom Water","0.9","10","0.31","0.71","0.07","<0.002","0.37","77","5.3","58","9.4","7.6","25.6","27.9"
"North Western","NM1","1992-09-18","1","Surface Water","0.7","23","0.07","0.59","0.05","0.033","0.38","116","8.4","20","7.9","7.8","22.9","29.3"
"North Western","NM1","1992-09-18","1","Middle Water","0.7","28","0.06","0.54","0.057","0.035","0.33","85","6.2","57","20","7.8","22.3","30.1"
"North Western","NM1","1992-09-18","1","Bottom Water","0.7","25","0.12","0.66","0.036","0.032","0.32","137","10.4","100","22","7.9","22.3","30.3"
"North Western","NM1","1992-11-09","1","Surface Water","0.8","16","0.21","1.05","0.15","0.039","0.57","98","7","100","14","7.9","23.4","32.6"
"North Western","NM1","1992-11-09","1","Middle Water","0.9","20","0.27","1.01","0.132","0.04","0.55","110","7.8","100","14","7.9","23.3","32.7"
"North Western","NM1","1992-11-09","1","Bottom Water","0.8","22","0.33","1.05","0.165","0.019","0.61","114","8.1","110","14","8","23.3","32.8"
"North Western","NM1","1993-01-11","1","Surface Water","0.3","44","0.12","1.37","0.156","0.098","0.38","91","7","200","30","7.9","19.6","31.9"
"North Western","NM1","1993-01-11","1","Middle Water","0.5","61","0.11","1.22","0.167","0.044","0.4","99","7.5","450","40","8.6","19.6","32"
"North Western","NM1","1993-01-11","1","Bottom Water","0.5","41","0.15","1.1","0.167","0.044","0.4","121","9.1","370","39","8","19.6","32.1"
"North Western","NM1","1993-03-05","1","Surface Water","0.5","7","0.13","0.49","0.191","0.042","0.32","85","7.3","47","5.8","8.1","17.7","33.4"
"North Western","NM1","1993-03-05","1","Middle Water","0.4","7.5","0.15","0.5","0.209","0.04","0.34","84","7.3","140","5.6","8.2","17.5","33.2"
"North Western","NM1","1993-03-05","1","Bottom Water","0.5","6.5","0.15","0.43","0.142","0.033","0.27","85","7.4","80","6.1","8.2","17","33.3"
"North Western","NM1","1993-05-21","1","Surface Water","3.6","6","0.07","0.89","<0.005","0.039","0.85","109","7.6","8","7.9","8.1","27.1","20"
"North Western","NM1","1993-05-21","1","Middle Water","0.8","3.5","0.1","0.53","0.007","0.027","0.41","81","5.8","110","4.6","8.2","25.8","28.9"
"North Western","NM1","1993-05-21","1","Bottom Water","1.1","4","0.04","0.53","<0.005","0.027","0.48","78","5.6","60","10.9","8.3","25.6","30.9"
"North Western","NM1","1993-07-06","1","Surface Water","1.1","6","0.05","0.97","0.04","0.035","0.94","117","8","140","8","8.5","28.6","13.7"
"North Western","NM1","1993-07-06","1","Middle Water","0.3","6.5","0.04","0.58","0.087","0.013","0.48","78","5.6","450","9.4","8.4","25.7","28.9"
"North Western","NM1","1993-07-06","1","Bottom Water","0.4","15","0.06","0.44","0.035","0.022","0.25","77","5.6","360","71.9","8.4","25.2","31"
"North Western","NM1","1993-09-13","1","Surface Water","0.7","5.5","0.03","0.65","0.076","0.031","0.5","100","6.7","11","4.6","8.2","29.2","22.2"
"North Western","NM1","1993-09-13","1","Middle Water","0.4","16","0.05","0.47","0.076","0.029","0.4","82","5.4","18","5.5","8.1","28.1","28.7"
"North Western","NM1","1993-09-13","1","Bottom Water","0.4","10","0.06","0.52","0.101","0.034","0.42","76","5","58","26.6","8.1","27.9","31.2"
"North Western","NM1","1993-11-08","1","Surface Water","0.4","47","0.09","0.94","0.098","0.036","0.57","98","7","30","11.6","8.2","23.7","29.1"
"North Western","NM1","1993-11-08","1","Middle Water","0.4","53","0.09","0.95","0.099","0.037","0.57","94","6.7","30","5.9","8.2","23.6","30.3"
"North Western","NM1","1993-11-08","1","Bottom Water","0.4","10","0.07","0.93","0.097","0.035","0.55","90","6.4","34","11.5","8.2","23.7","31.3"
"North Western","NM1","1994-01-05","1","Surface Water","0.3","39","0.07","0.62","0.106","0.033","0.33","88","6.9","45","12","8.1","17.9","31.1"
"North Western","NM1","1994-01-05","1","Middle Water","0.3","37","0.07","0.79","0.116","0.032","0.34","86","6.8","110","20.5","8.1","17.8","31.1"
"North Western","NM1","1994-01-05","1","Bottom Water","0.3","40","0.07","0.61","0.109","0.033","0.32","84","6.6","50","19.7","8.1","17.8","31.1"
"North Western","NM1","1994-03-11","1","Surface Water","0.5","12","0.09","1.05","0.134","0.032","0.32","84","6.6","260","5.7","8.4","17.7","32.7"
"North Western","NM1","1994-03-11","1","Middle Water","0.5","17","0.09","0.76","0.135","0.031","0.31","85","6.6","310","10.4","8.4","17.7","32.8"
"North Western","NM1","1994-03-11","1","Bottom Water","0.5","26","0.19","0.92","0.128","0.031","0.29","83","6.5","270","13.7","8.4","17.7","32.8"
"North Western","NM1","1994-05-04","1","Surface Water","0.6","12","0.05","5.5","0.124","0.03","0.94","75","5.5","270","4.4","8.2","26.2","18.1"
"North Western","NM1","1994-05-04","1","Middle Water","0.4","3.8","0.06","0.54","0.11","0.021","0.42","70","4.9","370","4.2","8.2","24.3","31.9"
"North Western","NM1","1994-05-04","1","Bottom Water","0.4","16","0.04","0.78","0.105","0.023","0.56","70","4.9","560","3.5","8.2","24","32.9"
"North Western","NM1","1994-07-11","1","Surface Water","0.8","3.5","0.04","0.71","0.035","0.016","0.55","69","4.8","100","4.3","8","28.6","20.1"
"North Western","NM1","1994-07-11","1","Middle Water","0.7","4.6","0.06","0.59","0.048","0.015","0.47","55","3.8","610","4.5","8","26.8","28.2"
"North Western","NM1","1994-07-11","1","Bottom Water","0.8","4.4","0.05","0.63","0.038","0.018","0.51","50","3.4","170","5.1","8","26.4","29.4"
"North Western","NM1","1994-09-15","1","Surface Water","0.2","4.5","0.06","0.6","0.038","0.028","0.32","96","6.5","180","7.2","8.1","27.1","28.3"
"North Western","NM1","1994-09-15","1","Middle Water","0.2","5.9","0.07","0.62","0.067","0.037","0.34","92","6.2","370","9.8","8","26.8","29.6"
"North Western","NM1","1994-09-15","1","Bottom Water","0.2","9.3","0.08","0.77","0.054","0.039","0.32","77","5.2","180","12.2","8","26.9","30.4"
"North Western","NM1","1994-11-04","1","Surface Water","0.3","46","0.09","0.56","0.111","0.05","0.22","77","5.3","460","26.7","8.4","24.3","32.5"
"North Western","NM1","1994-11-04","1","Middle Water","0.4","62","0.11","0.56","0.123","0.047","0.23","73","5.1","800","31.4","8.5","24.3","32.4"
"North Western","NM1","1994-11-04","1","Bottom Water","0.3","62","0.11","0.63","0.104","0.043","0.2","73","5.1","700","35.5","8.5","24.3","32.4"
"North Western","NM1","1995-01-05","1","Surface Water","0.3","51","0.11","0.35","0.19","0.051","0.29","76","5.8","260","23.8","7.9","19.2","33.2"
"North Western","NM1","1995-01-05","1","Middle Water","0.3","40","0.1","0.41","0.18","0.047","0.28","75","5.7","260","24.7","8","19.1","33.2"
"North Western","NM1","1995-01-05","1","Bottom Water","0.3","28","0.08","0.37","0.19","0.055","0.29","76","5.7","240","25.4","8","19.1","33.2"
"North Western","NM1","1995-03-08","1","Surface Water","0.6","23","0.06","0.6","0.18","0.028","0.35","88","7.2","140","8.3","8.1","15.9","31"
"North Western","NM1","1995-03-08","1","Middle Water","0.7","24","0.13","0.59","0.17","0.035","0.34","88","7.2","140","8","8.1","15.7","31.1"
"North Western","NM1","1995-03-08","1","Bottom Water","0.6","25","0.07","0.78","0.2","0.03","0.37","88","7.3","130","8.9","8.1","15.8","31"
"North Western","NM1","1995-05-03","1","Surface Water","3","5.5","0.05","0.58","0.062","0.017","0.23","129","9.1","25","2.7","8.3","24.6","27.4"
"North Western","NM1","1995-05-03","1","Middle Water","1.3","7.3","0.06","0.4","0.073","0.024","0.11","116","8.2","240","3","8.2","23.4","31.3"
"North Western","NM1","1995-05-03","1","Bottom Water","1.1","8.6","0.06","0.42","0.068","0.024","0.11","114","8.1","90","5.8","8.2","23.3","31.6"
"North Western","NM1","1995-07-05","1","Surface Water","0.7","4.4","0.05","0.61","0.041","0.044","0.54","70","4.8","650","14","8","26","23.8"
"North Western","NM1","1995-07-05","1","Middle Water","0.6","6.1","0.05","0.55","0.038","0.038","0.38","57","4","700","14","8","24.1","24.8"
"North Western","NM1","1995-07-05","1","Bottom Water","0.5","4.9","0.05","0.61","0.038","0.041","0.44","53","3.8","200","14","8","23.8","32.4"
"North Western","NM1","1995-09-07","1","Surface Water","0.5","3.5","0.03","0.77","0.03","0.027","0.56","84","5.8","20","2.5","8.1","28.5","20.5"
"North Western","NM1","1995-09-07","1","Middle Water","0.3","10","0.04","0.49","0.043","0.026","0.4","76","5.2","180","7.4","8","27.8","25.8"
"North Western","NM1","1995-09-07","1","Bottom Water","0.3","14","0.05","0.44","0.041","0.027","0.38","71","4.8","100","20.1","8","27.5","28"
"North Western","NM1","1995-11-03","1","Surface Water","0.6","2.7","0.09","0.27","0.025","0.031","0.14","89","6.2","10","4.2","8.3","24.9","30.9"
"North Western","NM1","1995-11-03","1","Middle Water","0.5","3.1","0.09","0.34","0.041","0.031","0.14","91","6.2","23","3.7","8.3","24.9","31.7"
"North Western","NM1","1995-11-03","1","Bottom Water","0.5","2.2","0.09","0.32","0.043","0.027","0.15","91","6.2","24","4","8.3","25.2","32.2"
"North Western","NM1","1996-01-08","1","Surface Water","0.3","9","0.2","0.37","0.16","0.037","0.24","61","4.7","320","5.9","8.3","18.5","33.8"
"North Western","NM1","1996-01-08","1","Middle Water","0.4","11","0.22","0.37","0.15","0.039","0.23","63","4.9","1200","7","8.3","18.4","33.7"
"North Western","NM1","1996-01-08","1","Bottom Water","0.4","14","0.29","0.41","0.15","0.05","0.23","64","4.9","1000","6.7","8.3","18.4","33.7"
"North Western","NM1","1996-03-04","1","Surface Water","0.4","4.1","0.05","0.35","0.13","0.025","0.2","68","5.3","100","4.1","8.3","17","34.1"
"North Western","NM1","1996-03-04","1","Middle Water","0.2","5.6","0.05","0.37","0.14","0.023","0.21","81","6.4","240","4.5","8.3","16.8","34.1"
"North Western","NM1","1996-03-04","1","Bottom Water","0.3","7.6","0.05","0.33","0.13","0.025","0.2","83","6.5","510","5.2","8.3","16.8","34.1"
"North Western","NM1","1996-05-03","1","Surface Water","0.5","5","0.08","0.52","0.093","0.022","0.43","96","7","120","5.4","8.3","23.5","25.9"
"North Western","NM1","1996-05-03","1","Middle Water","0.4","5.9","0.1","0.46","0.092","0.026","0.37","93","6.8","700","5.4","8.3","22.3","30.1"
"North Western","NM1","1996-05-03","1","Bottom Water","0.4","6.2","0.1","0.4","0.086","0.023","0.26","94","6.8","1300","9.5","8.2","22.2","30.5"
"North Western","NM1","1996-07-12","1","Surface Water","1.4","5.9","0.05","1.12","<0.005","0.022","0.78","98","7.3","<100","3.7","7.9","28.4","8.1"
"North Western","NM1","1996-07-12","1","Middle Water","0.6","5.2","0.05","1.04","<0.005","0.02","0.76","68","4.7","80","3.3","7.8","25.4","29.7"
"North Western","NM1","1996-07-12","1","Bottom Water","0.6","4.4","0.08","0.44","0.007","0.024","0.26","50","3.5","360","10.3","7.8","24.7","32.3"
"North Western","NM1","1996-09-04","1","Surface Water","0.5","4","0.04","0.67","0.01","0.039","0.43","76","5.2","90","1.7","7.9","26.8","25.3"
"North Western","NM1","1996-09-04","1","Middle Water","0.5","4","0.06","0.62","0.019","0.027","0.41","59","4.1","140","3.4","7.9","25","30.5"
"North Western","NM1","1996-09-04","1","Bottom Water","0.5","4.7","0.06","0.54","0.015","0.024","0.35","46","3.2","140","6.1","7.9","24","32.5"
"North Western","NM1","1996-11-04","1","Surface Water","0.3","4.4","0.11","0.79","<0.005","0.042","0.3","81","5.5","800","2.3","7.9","26.2","30.6"
"North Western","NM1","1996-11-04","1","Middle Water","0.3","5.6","0.14","0.72","<0.005","0.039","0.29","82","5.6","5000","2","7.9","25.9","31.3"
"North Western","NM1","1996-11-04","1","Bottom Water","0.3","5.2","0.14","0.68","<0.005","0.035","0.3","80","5.4","130","3.1","7.9","26.1","31.9"
"North Western","NM1","1997-01-03","1","Surface Water","1.1","2.2","0.13","1.05","0.13","0.04","0.39","101","7.9","13","1","8.1","19.2","29.4"
"North Western","NM1","1997-01-03","1","Middle Water","0.8","2.2","0.13","0.99","0.12","0.046","0.36","94","7.2","23","0.5","8.1","19.3","30.2"
"North Western","NM1","1997-01-03","1","Bottom Water","0.8","2.5","0.13","0.98","0.12","0.04","0.35","91","7","90","0.9","8.1","19.3","30.7"
"North Western","NM1","1997-03-19","1","Surface Water","0.5","3.4","0.13","0.41","0.13","0.028","0.23","85","6.5","57","3.9","8.2","19.8","31.2"
"North Western","NM1","1997-03-19","1","Middle Water","0.5","3.2","0.11","0.37","0.28","0.027","0.37","90","6.9","100","3.9","8.2","19.6","31.7"
"North Western","NM1","1997-03-19","1","Bottom Water","0.5","3.5","0.13","0.37","0.17","0.024","0.27","84","6.3","90","3.9","8.2","19.6","31.8"
"North Western","NM1","1997-05-02","1","Surface Water","1.3","3.7","0.04","1.63","0.051","0.022","0.68","96","7","22","5.3","7.7","24.5","22.1"
"North Western","NM1","1997-05-02","1","Middle Water","1","3.8","0.04","1.43","0.1","0.029","0.55","85","6.1","120","5.5","7.7","23.1","30.1"
"North Western","NM1","1997-05-02","1","Bottom Water","0.6","4.9","0.04","1.21","0.091","0.03","0.31","78","5.6","1000","7.2","7.8","22.7","31.7"
"North Western","NM1","1997-07-14","1","Surface Water","0.7","4.9","0.05","0.93","0.09","0.016","0.7","104","7.7","2100","3.6","8.2","27.9","8.6"
"North Western","NM1","1997-07-14","1","Middle Water","0.4","3.4","0.05","1.59","0.045","0.027","0.44","78","5.6","900","3.2","7.8","24.1","29.1"
"North Western","NM1","1997-07-14","1","Bottom Water","0.4","4.8","0.05","1.2","0.016","0.028","0.28","57","4","1700","3.9","7.9","23.3","32.2"
"North Western","NM1","1997-09-04","1","Surface Water","0.7","5.2","0.06","1.48","0.1","0.031","0.62","91","6.3","730","2.9","7.4","28.9","19.5"
"North Western","NM1","1997-09-04","1","Middle Water","0.3","6.1","0.08","1.69","0.073","0.027","0.46","79","5.4","760","2.9","7.5","27.9","23.4"
"North Western","NM1","1997-09-04","1","Bottom Water","0.3","5.8","0.06","1.32","0.066","0.028","0.44","63","4.3","800","3","7.6","26.8","28.1"
